,S1_TC_BC_Ambient.temperature,S1_TC_Drip_Tray.temperature,S1_TC_HS_AL_Plate.temperature,S1_TC_HS_E2_9.temperature,S1_TC_LOx_Tank.temperature,missionTime
34,61.27382327,-42.52833572,-43.43664639,-31.29571375,-14.68509624,-56.46750259
35,61.27382327,-42.52833572,-43.43664639,-31.29571375,-14.68509624,-56.36750031
36,61.27382327,-42.52833572,-43.43664639,-31.29571375,-14.68509624,-56.26750183
37,61.27448050547609,-42.5253577275271,-43.43677721083784,-31.29540631156282,-14.685322985241704,-56.16749954
38,61.27603530302184,-42.518312801383416,-43.437086688833176,-31.29467901587508,-14.68585938803512,-56.06750107
39,61.27759023773182,-42.51126725373631,-43.43739619413067,-31.293951656025307,-14.686395838149997,-55.96750259
40,61.27914545047745,-42.50422044628494,-43.43770575477036,-31.29322416611736,-14.686932384186743,-55.86750031
41,61.28070032216603,-42.49717518419346,-43.43801524752361,-31.292496835747443,-14.687468812559327,-55.76750183
42,61.28159771,-42.49310904,-43.43819387,-31.29207706,-14.68777841,-55.66749954
43,61.28159771,-42.49310904,-43.43819387,-31.29207706,-14.68777841,-55.56750107
44,61.28159771,-42.49310904,-43.43819387,-31.29207706,-14.68777841,-55.46750259
45,61.28159771,-42.49310904,-43.43819387,-31.29207706,-14.68777841,-55.36750031
46,61.28159771,-42.49310904,-43.43819387,-31.29207706,-14.68777841,-55.26750183
47,61.28119952448061,-42.49357385704148,-43.43806676104326,-31.29176323619916,-14.687710401416306,-55.16749954
48,61.28025749131616,-42.49467352804195,-43.437766044801926,-31.29102078723053,-14.68754950570768,-55.06750107
49,61.27931541323032,-42.49577325148087,-43.43746531422075,-31.290278302857786,-14.687388602326646,-54.96750259
50,61.27837299374183,-42.49687337345201,-43.43716447465689,-31.28953554941381,-14.687227640635331,-54.86750031
51,61.27743100999092,-42.497972986770186,-43.43686377418936,-31.2887931393897,-14.68706675336635,-54.76750183
52,61.27688736,-38.90348301109407,-43.43669023,-31.28836467,-14.6869739,-54.66750336
53,61.27688736,-30.40389118115056,-43.43669023,-31.28836467,-14.6869739,-54.56750107
54,61.27688736,-21.904664110115903,-43.43669023,-31.28836467,-14.6869739,-54.46750259
55,61.27688736,-13.407443213079995,-43.43669023,-31.28836467,-14.6869739,-54.36750031
56,61.27688736,-4.90659499133929,-43.43669023,-31.28836467,-14.6869739,-54.26750183
57,61.27688736,-13.407443213079995,-43.43669023,-31.28836467,-14.6869739,-54.36750031
58,61.27702484510899,-3.5912958941992272,-43.43661869523236,-31.28892495494098,-14.687073443138573,-54.16750336
59,61.27735000150918,-12.084818236918249,-43.43644951336454,-31.290250045605944,-14.68730886564244,-54.06750107
60,61.27767523855216,-20.58044707785502,-43.43628028953754,-31.291575464909723,-14.687544346533988,-53.96750259
61,61.2780004794722,-29.07617719274457,-43.43611106369328,-31.292900900013446,-14.687779830232635,-53.86750031
62,61.2783257041086,-37.57148195703246,-43.435941846321526,-31.29422626875741,-14.688015302141466,-53.76750183
63,61.27851347,-42.47617949,-43.43584415,-31.29499146,-14.68815125,-53.66750336
64,61.27851347,-42.47617949,-43.43584415,-31.29499146,-14.68815125,-53.56750107
65,61.27851347,-42.47617949,-43.43584415,-31.29499146,-14.68815125,-53.46750259
66,61.27851347,-42.47617949,-43.43584415,-31.29499146,-14.68815125,-53.36750031
67,61.27851347,-42.47617949,-43.43584415,-31.29499146,-14.68815125,-53.26750183
68,61.27847427657229,-42.4766474957413,-43.43577818713317,-31.29393347161151,-14.687833017694006,-53.16750336
69,61.27838155339175,-42.47775469619258,-43.43562213324435,-31.291430499707943,-14.68708014882571,-53.06750107
70,61.27828882645291,-42.4788619415213,-43.4354660730303,-31.288927426353037,-14.686327249441865,-52.96750259
71,61.27819609885084,-42.47996919476957,-43.435310011700025,-31.286424335094942,-14.685574344672924,-52.86750031
72,61.278103373680615,-42.4810764189795,-43.43515395446256,-31.28392130948184,-14.684821459649337,-52.76750183
73,61.27804983,-42.48171578,-43.43506384,-31.28247595,-14.68438671,-52.66750336
74,61.27804983,-42.48171578,-43.43506384,-31.28247595,-14.68438671,-52.56750107
75,61.27804983,-42.48171578,-43.43506384,-31.28247595,-14.68438671,-52.46750259
76,61.27804983,-42.48171578,-43.43506384,-31.28247595,-14.68438671,-52.36750031
77,61.27804983,-42.48171578,-43.43506384,-31.28247595,-14.68438671,-52.26750183
78,61.27861454166711,-42.48110176821535,-43.4351338916539,-31.281873797806306,-14.68400447978838,-52.16750336
79,61.27995011441176,-42.47964959810405,-43.43529956749365,-31.280449676250356,-14.683100485267715,-52.06750107
80,61.28128598017228,-42.47819710939619,-43.4354652796816,-31.279025242251496,-14.682196292416595,-51.96750259
81,61.28262190007705,-42.47674456181721,-43.435630998586056,-31.277600750518623,-14.68129206291746,-51.86750031
82,61.28395776902252,-42.47529206964634,-43.43579671116908,-31.276176313123653,-14.68038786791058,-51.76750183
83,61.28472899,-42.47445352,-43.43589238,-31.27535396,-14.67986586,-51.66750336
84,61.28472899,-42.47445352,-43.43589238,-31.27535396,-14.67986586,-51.56750107
85,61.28472899,-42.47445352,-43.43589238,-31.27535396,-14.67986586,-51.46750259
86,61.28472899,-42.47445352,-43.43589238,-31.27535396,-14.67986586,-51.36750031
87,61.28472899,-42.47445352,-43.43589238,-31.27535396,-14.67986586,-51.26750183
88,61.28507766367477,-42.474950493400826,-43.43582532275461,-31.27506207881829,-14.67896167949689,-51.16750336
89,61.28590280623148,-42.47612658994107,-43.43566663057076,-31.27437133672344,-14.676821919985215,-51.06750107
90,61.28672797239641,-42.4773027201307,-43.435507933846544,-31.273680574865715,-14.674682099252726,-50.96750259
91,61.28755332152502,-42.47847911110308,-43.435349201934585,-31.27298965984572,-14.672541804058874,-50.86750031
92,61.28837832243244,-42.479655005747006,-43.435190536992856,-31.27229903632811,-14.670402411872123,-50.76750183
93,61.28885475,-42.48033407,-43.43509891,-31.27190021,-14.66916694,-50.66750336
94,61.28885475,-42.48033407,-43.43509891,-31.27190021,-14.66916694,-50.56750107
95,61.28885475,-42.48033407,-43.43509891,-31.27190021,-14.66916694,-50.46750259
96,61.28885475,-42.48033407,-43.43509891,-31.27190021,-14.66916694,-50.36750031
97,61.28885475,-42.48033407,-43.43509891,-31.27190021,-14.66916694,-50.26750183
98,61.28828070350121,-42.479194802259954,-43.4351029846258,-31.271693120650436,-14.668719578704312,-50.16750336
99,61.28692201513503,-42.47649831368697,-43.43511262869938,-31.2712029689108,-14.667660736625828,-50.06750107
100,61.28556323282537,-42.47380163867128,-43.43512227343978,-31.27071278328071,-14.666601821336062,-49.96750259
101,,,,,,
102,61.28284581398042,-42.46840857794755,-43.43514156188586,-31.26973246460917,-14.664484104360245,-49.76750183
103,61.28206136,-42.46685173,-43.43514713,-31.26944947,-14.66387277,-49.66750336
104,61.28206136,-42.46685173,-43.43514713,-31.26944947,-14.66387277,-49.56750107
105,61.28206136,-42.46685173,-43.43514713,-31.26944947,-14.66387277,-49.46750259
106,61.28206136,-42.46685173,-43.43514713,-31.26944947,-14.66387277,-49.36750031
